#,Company,Symbol,Weight,Price,Chg,% Chg
144,Johnson Controls International plc,JCI,0.140114,74.89,-0.08,(-0.11%)
145,Agilent Technologies Inc.,A,0.139839,175.23,-1.5,(-0.85%)
146,Freeport-McMoRan Inc.,FCX,0.139157,36.18,-0.47,(-1.27%)
147,Dollar General Corporation,DG,0.138826,222.73,-2.64,(-1.17%)
148,MSCI Inc. Class A,MSCI,0.137361,634.71,-3.72,(-0.58%)
149,KLA Corporation,KLAC,0.136745,340.62,-1.49,(-0.44%)
150,Humana Inc.,HUM,0.136166,405.3,-0.21,(-0.05%)
151,Biogen Inc.,BIIB,0.135256,338.16,-6.26,(-1.82%)
152,Vertex Pharmaceuticals Incorporated,VRTX,0.134662,200.18,0.69,(0.35%)
153,Twitter Inc.,TWTR,0.134556,64.63,-0.07,(-0.11%)
154,Ford Motor Company,F,0.132899,13,-0.05,(-0.38%)
155,Synopsys Inc.,SNPS,0.132731,332.27,-2.01,(-0.60%)
156,Roper Technologies Inc.,ROP,0.131994,482.51,-0.14,(-0.03%)
157,Align Technology Inc.,ALGN,0.13171,707.29,5.18,(0.74%)
158,TE Connectivity Ltd.,TEL,0.131645,150.54,-2.16,(-1.41%)
159,T. Rowe Price Group,TROW,0.131391,223.17,1.06,(0.48%)
160,DexCom Inc.,DXCM,0.130715,527.75,6.21,(1.19%)
161,eBay Inc.,EBAY,0.130634,76.83,-0.72,(-0.93%)
162,IQVIA Holdings Inc,IQV,0.130399,258.72,-2.89,(-1.10%)
163,Public Storage,PSA,0.126934,323.57,3.02,(0.94%)
164,Exelon Corporation,EXC,0.125304,49.04,-0.21,(-0.43%)
165,L3Harris Technologies Inc,LHX,0.124604,232.52,-0.11,(-0.05%)
166,Trane Technologies plc,TT,0.124299,198.44,-1.6,(-0.80%)
167,Dow Inc.,DOW,0.124219,62.77,-1.22,(-1.90%)
168,Global Payments Inc.,GPN,0.124094,162.29,0.99,(0.61%)
169,Carrier Global Corp.,CARR,0.123558,57.68,-0.35,(-0.60%)
170,American International Group Inc.,AIG,0.120882,54.46,0.44,(0.81%)
171,Kimberly-Clark Corporation,KMB,0.120423,137.72,0.98,(0.72%)
172,Amphenol Corporation Class A,APH,0.120103,76.58,-0.36,(-0.46%)
173,MetLife Inc.,MET,0.120061,62,0.13,(0.21%)
174,Newmont Corporation,NEM,0.119936,57.87,0.36,(0.62%)
175,Cadence Design Systems Inc.,CDNS,0.119134,163.67,-0.22,(-0.13%)
176,General Dynamics Corporation,GD,0.118922,199.86,0.67,(0.34%)
177,Digital Realty Trust Inc.,DLR,0.118875,163.48,1.06,(0.65%)
178,IHS Markit Ltd.,INFO,0.117394,120.56,-0.27,(-0.22%)
